Country Name,Country Code,Indicator Name,Indicator Code,2017
Aruba,ABW,"Population, total",SP.POP.TOTL,105439
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,632746296
Afghanistan,AFG,"Population, total",SP.POP.TOTL,35643418
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,431138704
Angola,AGO,"Population, total",SP.POP.TOTL,30208628
Albania,ALB,"Population, total",SP.POP.TOTL,2873457
Andorra,AND,"Population, total",SP.POP.TOTL,73837
Arab World,ARB,"Population, total",SP.POP.TOTL,423664839
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9068296
Argentina,ARG,"Population, total",SP.POP.TOTL,44044811
Armenia,ARM,"Population, total",SP.POP.TOTL,2851923
American Samoa,ASM,"Population, total",SP.POP.TOTL,49463
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,91119
Australia,AUS,"Population, total",SP.POP.TOTL,24594202
Austria,AUT,"Population, total",SP.POP.TOTL,8797566
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9854033
Burundi,BDI,"Population, total",SP.POP.TOTL,11155593
Belgium,BEL,"Population, total",SP.POP.TOTL,11375158
Benin,BEN,"Population, total",SP.POP.TOTL,11596779
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,19835858
Bangladesh,BGD,"Population, total",SP.POP.TOTL,161793964
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7075947
Bahrain,BHR,"Population, total",SP.POP.TOTL,1456834
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,399020
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3440027
Belarus,BLR,"Population, total",SP.POP.TOTL,9458989
Belize,BLZ,"Population, total",SP.POP.TOTL,374693
Bermuda,BMU,"Population, total",SP.POP.TOTL,63873
Bolivia,BOL,"Population, total",SP.POP.TOTL,11435533
Brazil,BRA,"Population, total",SP.POP.TOTL,208504960
Barbados,BRB,"Population, total",SP.POP.TOTL,279187
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,430276
Bhutan,BTN,"Population, total",SP.POP.TOTL,756121
Botswana,BWA,"Population, total",SP.POP.TOTL,2401840
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4996741
Canada,CAN,"Population, total",SP.POP.TOTL,36545236
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,102740078
Switzerland,CHE,"Population, total",SP.POP.TOTL,8451840
Channel Islands,CHI,"Population, total",SP.POP.TOTL,165215
Chile,CHL,"Population, total",SP.POP.TOTL,18368577
China,CHN,"Population, total",SP.POP.TOTL,1396215000
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,24848016
Cameroon,CMR,"Population, total",SP.POP.TOTL,24393181
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,84283273
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5312340
Colombia,COL,"Population, total",SP.POP.TOTL,48351671
Comoros,COM,"Population, total",SP.POP.TOTL,761664
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,564954
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4993842
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,7303634
Cuba,CUB,"Population, total",SP.POP.TOTL,11336405
Curacao,CUW,"Population, total",SP.POP.TOTL,160175
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,63581
Cyprus,CYP,"Population, total",SP.POP.TOTL,1208523
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10594438
Germany,DEU,"Population, total",SP.POP.TOTL,82657002
Djibouti,DJI,"Population, total",SP.POP.TOTL,1040233
Dominica,DMA,"Population, total",SP.POP.TOTL,70403
