Country,Agglomeration Name (in English),Population,Area,55-59,60-64,65-69,70-74,>75,,,,,,,,,,,,,,,,,,,,,,
Austria,Graz,274207,126.00,47400,34100,33200,2600,0,,,,,,,,,,,,,,,,,,,,,,
Austria,Innsbruck,133596,42.00,33600,28800,15900,2200,0,,,,,,,,,,,,,,,,,,,,,,
Austria,Linz,221348,112.00,47400,29700,15200,7000,1600,,,,,,,,,,,,,,,,,,,,,,
Austria,Salzburg,148420,66.00,34000,19500,14300,4200,100,,,,,,,,,,,,,,,,,,,,,,
Austria,Vienna,1862251,459.00,235900,490500,554500,341700,129000,,,,,,,,,,,,,,,,,,,,,,
Belgium,Brussels,999899,160.00,170300,158100,201500,189200,26400,,,,,,,,,,,,,,,,,,,,,,
Belgium,Antwerp,513570,204.38,124500,76100,47100,42500,5200,,,,,,,,,,,,,,,,,,,,,,
Belgium,Bruges,117886,138.40,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Belgium,Ghent,253266,157.80,43000,40300,35800,9600,1900,,,,,,,,,,,,,,,,,,,,,,
Belgium,Charleroi,202480,102.10,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Belgium,Liege,195968,69.39,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Banja Luka,199191,90.30,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Bijeljina,114663,31.10,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Brcko,93028,16.00,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Mostar,113169,35.50,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Prijedor,97588,27.00,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Sarajevo,291422,141.50,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
