Country,Agglomeration 0me (in English),Nr Inhabitants,Area (km2),55-59,60-64,65-69,70-74,>75,Percentages
Austria,Graz,274207,126,47400,34100,33200,2600,0,42.77790137
Austria,Innsbruck,133596,42,33600,28800,15900,2200,0,60.2562951
Austria,Linz,221348,112,47400,29700,15200,7000,1600,44.86148508
Austria,Salzburg,148420,66,34000,19500,14300,4200,100,48.51098235
Austria,Vien0,1862251,459,235900,490500,554500,341700,129000,87.13111176
Belgium,Brussels,999899,160,170300,158100,201500,189200,26400,71.91726364
Belgium,Antwerp,513570,204.38,124500,76100,47100,42500,5200,56.50641587
Belgium,Bruges,117886,138.4,0,0,0,0,0,0
Belgium,Ghent,253266,157.8,43000,40300,35800,9600,1900,50.81613797
Belgium,Charleroi,202480,102.1,0.00,0,0,0,0,0
Belgium,Liege,195968,69.39,0,0,0,0,0,0
Bosnia and Herzegovi0,Banja Luka,199191,90.3,0,0,0,0,0,0
Bosnia and Herzegovi0,Bijelji0,114663,31.1,0,0,0,0,0,0
Bosnia and Herzegovi0,Brcko,93028,16,0,0,0,0,0,0
Bosnia and Herzegovi0,Mostar,113169,35.5,0,0,0,0,0,0
Bosnia and Herzegovi0,Prijedor,97588,27,0,0,0,0,0,0
Bosnia and Herzegovi0,Sarajevo,291422,141.5,0,0,0,0,0,0
Bosnia and Herzegovi0,Tuzla,120441,30.2,0,0,0,0,0,0
Bosnia and Herzegovi0,Zenica,115134,36.2,0,0,0,0,0,0
Bulgaria,Burgas,206630,220,52000,69900,26100,4900,1100,73.99699947
Bulgaria,Pleven,111567,85,42900,40100,20200,2000,0,94.29311535
Bulgaria,Plovdiv,368983,102,69600,119700,120400,41400,400,95.15343525
Bulgaria,Ruse,159798,127,49700,30300,12800,4300,300,60.76421482
Bulgaria,Sofia,1332817,492,324400,436200,177700,10300,3100,71.17256157
Bulgaria,Stara Zagora,149266,86,34100,52400,19700,300,0,71.3491351
Bulgaria,Var0,355935,154,110500,141800,22800,1100,100,77.59843792
Croatia,Osijek,110493,175,15900,12200,7700,1000,0,33.30527726
Croatia,Rijeka,130506,44,11600,8200,5100,2700,200,21.14845294
Croatia,Split,178102,80,21700,14900,6500,1100,0,24.81723956
Croatia,Zagreb,790017,641,96500,60300,39300,13600,1100,26.5437326
Cyprus,Limassol,187214,66.1,0,0,0,0,0,0
Cyprus,Nicosia,243254,95.4,0,0,0,0,0,0
Czech Republic,Brno,409738,328,122700,81500,43800,13900,400,63.91889451
Czech Republic,Liberec,162189,160,48300,25500,14500,8800,400,59.86842511
Czech Republic,Olomouc,105230,105,28500,15000,12100,2600,0,55.30742184
Czech Republic,Ostrava,509290,248,121900,82600,59700,14200,700,54.66433663
Czech Republic,Plzen,179403,184,43100,23700,19300,4200,0,50.33360646
Czech Republic,Prague,1234005,772,411500,238300,122800,96600,7100,70.43731589
Czech Republic,Teplice,180601,171,54400,28700,15300,5200,400,57.36402346
Denmark,Aalborg,132864,65.32,30700,28200,22200,7800,100,66.91052505
Denmark,Aarhus,237797,81.48,51400,39500,22100,10700,100,52.0191592
Denmark,Copenhagen,1194507,382.48,372800,210900,142400,31000,3700,63.38179684
Denmark,Odense,188080,100.99,41000,24700,18500,4900,700,47.3734581
Estonia,Tallinn,435972,159.2,67600,95400,68700,18200,800,57.32019487
Estonia,Tartu,96986,38.8,15900,18600,11600,1600,100,49.18235622
Finland,Espoo,274583,534,35700,15900,3200,200,0,20.03037333
Finland,Helsinki,635181,216,85800,50700,18400,8200,100,25.67772021
Finland,Jyvaskyla,138850,1467,17300,8800,4100,300,0,21.96615052
Finland,Kauniainen,9397,6,1400,600,0,0,0,21.28338832
Finland,Kuopio,117740,3740,17600,10600,3500,400,0,27.26346187
Finland,Lahti,119452,518,13400,5600,2900,900,0,19.08716472
Finland,Oulu,200526,3866,24300,9400,2800,500,100,18.45147263
Finland,Tampere,228274,525,19100,11200,4600,100,0,15.33245135
Finland,Turku,187604,306,24500,15400,7600,2600,0,26.70518752
Finland,Vantaa,219341,240,35700,15500,3200,300,0,24.93833802
France,Amiens,164900,111.9,0,0,0,0,0,0
France,Angers,283200,553.06,0,0,0,0,0,0
France,Angouleme,110900,184.25,0,0,0,0,0,0
France,Annecy,150000,152.55,0,0,0,0,0,0
France,Annemasse,121700,178.52,0,0,0,0,0,0
France,Arras,110200,305.97,0,0,0,0,0,0
France,Aubergenville,411100,504.72,0,0,0,0,0,0
France,Avignon,279700,507.91,0,0,0,0,0,0
France,Bayonne,195400,313.8,0,0,0,0,0,0
France,Beauchamp,270700,87.24,0,0,0,0,0,0
France,Besancon,139300,122.36,0,0,0,0,0,0
France,Bethune,263100,389.59,0,0,0,0,0,0
France,Bordeaux,774900,578.27,0,0,0,0,0,0
France,Brest,213000,218.37,0,0,0,0,0,0
France,Brunoy,177800,66.36,71300,17000,12300,3800,0,58.71766029
France,Caen,268900,351.76,0,0,0,0,0,0
France,Calais,104800,136.5,0,0,0,0,0,0
France,Cannes,160800,94.83,0,0,0,0,0,0
France,Cergy,205700,84.16,81700,32600,9500,1500,200,60.91395236
France,Chambery,123300,157.89,0,0,0,0,0,0
France,Clermont-Ferrand,291800,300.63,0,0,0,0,0,0
France,Courcouronnes,347000,221.19,134400,64900,15700,2500,200,62.68011527
France,Dijon,256100,239.96,0,0,0,0,0,0
France,Douai - Lens,518900,489.14,0,0,0,0,0,0
France,Dunkerque,203800,280.43,0,0,0,0,0,0
France,Fort-de-France,135600,127.11,0,0,0,0,0,0
France,Grenoble,451800,545.54,0,0,0,0,0,0
France,Hénin-Beaumont,125900,112.07,0,0,0,0,0,0
France,La Rochelle,123600,92.76,0,0,0,0,0,0
France,Le Havre,240300,190.65,0,0,0,0,0,0
France,Le Mans,210900,267.05,0,0,0,0,0,0
France,Le Pecq,341300,139.1,111700,39400,34200,9400,400,57.04658658
France,Lens,245000,239.38,0,0,0,0,0,0
France,Lille,1154100,647.78,0,0,0,0,0,0
France,Limoges,180800,199.49,0,0,0,0,0,0
France,Lorient,120600,106.77,0,0,0,0,0,0
France,Lyon,1375000,533.68,0,0,0,0,0,0
France,Marseille,1886800,3149.22,0,0,0,0,0,0
France,Maubeuge,100000,129.55,0,0,0,0,0,0
France,Metz,328700,362.49,0,0,0,0,0,0
France,Montbeliard,111800,140.28,0,0,0,0,0,0
France,Montmorency,183100,74.08,69000,23600,17500,3700,100,62.1518296
France,Montpellier,457800,421.83,0,0,0,0,0,0
France,Mulhouse,242700,215.03,0,0,0,0,0,0
France,0ncy,260700,142.3,0,0,0,0,0,0
France,0ntes,636000,523.35,0,0,0,0,0,0
France,Nice,545000,1465.81,104100,121300,70000,12100,500,56.42201835
France,Nimes,164900,220.64,0,0,0,0,0,0
France,Orleans,287100,334.32,0,0,0,0,0,0
France,Orsay,313800,185.85,0,0,0,0,0,0
France,Paris,7068800,814.24,1963100,1694100,1423800,400000,25400,77.53791308
France,Pau,200000,449.71,0,0,0,0,0,0
France,Perpig0n,268500,616.68,0,0,0,0,0,0
France,Pointe-a-Pitre - Les Abymes,180200,430.5,0,0,0,0,0,0
France,Poitiers,130400,167.87,0,0,0,0,0,0
France,Reims,299100,1432.36,0,0,0,0,0,0
France,Rennes,444700,705.03,0,0,0,0,0,0
France,Roissy-en-France,349500,340.88,0,0,0,0,0,0
France,Rouen,499600,663.83,0,0,0,0,0,0
France,Saint-Denise-de-la-Reunion,170800,230,0,0,0,0,0,0
France,Sainte-Geneviève-des-Bois,196000,132.7,0,0,0,0,0,0
France,Saint-Etienne,408700,723.5,0,0,0,0,0,0
France,Saint-0zaire,148300,280.92,0,0,0,0,0,0
France,Saint-Pierre,146300,261.42,0,0,0,0,0,0
France,Strasbourg,491500,337.61,110800,103100,58100,9800,300,57.33468973
France,Thionville,132700,137.4,0,0,0,0,0,0
France,Torcy,228900,95.81,0,0,0,0,0,0
France,Toulon,434400,366.41,0,0,0,0,0,0
France,Toulouse,760100,458.16,0,0,0,0,0,0
France,Tours,299100,389.16,0,0,0,0,0,0
France,Trappes,231100,119.2,0,0,0,0,0,0
France,Troyes,135000,151.24,0,0,0,0,0,0
France,Valence,124200,164.16,0,0,0,0,0,0
France,Valenciennes,360000,502.1,0,0,0,0,0,0
France,Versailles,269200,123.58,0,0,0,0,0,0
Germany,Freiburg,219430,153,23000,12000,8400,4300,200,21.73813973
Germany,Heidelberg,145311,109,18100,10200,5900,2800,200,25.46262843
Germany,Heilbronn,121627,100,10500,8300,5400,1600,100,21.21239527
Germany,Karlsruhe,288917,173,28100,18200,12100,3400,100,21.39022626
Germany,Mannheim,309795,145,23600,16100,16200,6800,900,20.23919043
Germany,Pforzheim,119423,98,11200,7600,7900,7400,1300,28.55396364
Germany,Reutlingen,112458,87,7200,4900,2500,700,0,13.60507923
Germany,Stuttgart,581858,211,44300,31300,22200,9700,1400,18.4752981
Germany,Ulm,121434,119,7600,6300,4300,1800,0,16.46985194
Germany,Augsburg,266647,147,18000,15400,9700,1200,0,16.61372526
Germany,Erlangen,106326,77,16400,10800,5400,1400,100,31.97712695
Germany,Furth,116317,63,9200,7500,5900,1700,100,20.8911853
Germany,Ingolstadt,126732,133,25600,10800,4000,200,0,32.03610769
Germany,Munich,1378176,311,95000,69400,66400,21900,1500,18.33582939
Germany,Nuremberg,510602,187,43100,26400,23700,18300,2500,21.83696891
Germany,Regensburg,136577,81,14100,9000,5100,1200,0,21.52631849
Germany,Wurzburg,133808,88,16000,10000,5000,1800,500,24.51273466
Germany,Berlin,3460725,892,223200,170900,160700,104200,5500,19.04225271
Germany,Potsdam,161468,188,13100,10400,5700,1300,200,18.88919167
Germany,Bremen,549000,317,56300,34000,18500,4300,100,20.6010929
Germany,Bremerhaven,109000,94,8900,7300,6000,2500,0,22.66055046
Germany,Hamburg,1896342,1045,170400,130400,89100,25800,300,21.92115135
