,Population,55-59,60-64,65-69,70-74,>75,Percentage
Austria,8797496,398300,602600,633100,357700,130700,24.13
Belgium,11384490,337800,274500,284400,241300,33500,10.29
Bulgaria,7182429,683200,890400,399700,64300,5000,28.44
Croatia,4192467,145700,95600,58600,18400,1300,7.62
Czech Republic,10531305,830400,495300,287500,145500,9000,16.79
Denmark,5737285,495900,303300,205200,54400,4600,18.53
Estonia,1317549,83500,114000,80300,19800,900,22.66
Finland,5508140,274800,143700,50300,13500,200,8.76
France,64144087,2646100,2096000,1641100,442800,27100,10.68
Germany,82624374,2372900,1642300,1183500,466900,51500,6.92
Hungary,9788941,508200,439900,371100,224800,63100,16.42
Iceland,343632,33300,16100,5300,1400,100,16.35
Ireland,4771854,320700,147200,158600,55400,4500,14.38
Italy,60004032,2461500,2901300,2139800,900700,126100,14.21
Latvia,1954863,133900,188900,143900,54400,5000,26.91
Lithuania,2904450,264500,265700,172200,40500,5700,25.77
Luxembourg,596283,40600,39400,41400,20700,2600,24.27
Malta,479497,23200,14600,21600,6700,1100,14.01
Montenegro,632438,34400,61300,31300,5500,0,20.95
Netherlands,17207198,1500900,1175000,570200,49800,600,19.16
Norway,5277393,289300,200500,141700,60200,5800,13.22
Poland,38532812,1944600,1447200,746200,239300,29200,11.44
Portugal,10307530,194900,161500,120400,45600,9600,5.16
Romania,19698853,1076600,828600,583400,230800,33300,13.97
Slovakia,5439417,112600,97100,57200,18700,9000,5.42
Slovenia,2098392,73600,69500,48500,11000,200,9.66
Spain,46584170,1709000,1601200,893200,280800,37000,9.71
Sweden,10058190,620500,394100,187700,40200,3100,12.38
Switzerland,8451687,1087300,778400,516300,171100,23400,30.49
United Kingdom,66064805,4600900,1993900,1592500,1213100,158600,14.47
