"","Country","Depression %","Anxiety %","Eating Disorder %","Bipolar Disorder %","Schizophrenia %","Total Population","Measured Population","Area","55-59","60-64","65-69","70-74","75+","55-59 %","60-64 %","65-69 %","70-74 %","75+ %","Exposed to any noise %","Exposed to any noise % of total population","% measured popultaion","Avreage Years in School","Gini Index","Temperature"
"1","Estonia",3.97,3.64,0.19,0.57,0.31,1317384,532958,198,83500,114000,80300,19800,900,15.6672758453762,21.3900532499747,15.0668532980085,3.71511451183771,0.168868841447168,56.0081657466442,22.6585414731012,40.4557820650623,13.56,30.4,-4
"2","Finland",4.44,4.39,0.52,0.98,0.29,5508214,2130948,11418,274800,143700,50300,13500,200,12.8956689698669,6.74347755083653,2.36045178014668,0.633520855506563,0.00938549415565279,22.6425046505124,8.75964514087506,38.6867322148341,12.74,27.4,-7
"3","Finland",4.44,4.39,0.52,0.98,0.29,5508214,2130948,11418,274800,143700,50300,13500,200,12.8956689698669,6.74347755083653,2.36045178014668,0.633520855506563,0.00938549415565279,22.6425046505124,8.75964514087506,38.6867322148341,12.74,27.4,-6.63
"4","Finland",4.44,4.39,0.52,0.98,0.29,5508214,2130948,11418,274800,143700,50300,13500,200,12.8956689698669,6.74347755083653,2.36045178014668,0.633520855506563,0.00938549415565279,22.6425046505124,8.75964514087506,38.6867322148341,12.74,27.4,-0.35
"5","Finland",4.44,4.39,0.52,0.98,0.29,5508214,2130948,11418,274800,143700,50300,13500,200,12.8956689698669,6.74347755083653,2.36045178014668,0.633520855506563,0.00938549415565279,22.6425046505124,8.75964514087506,38.6867322148341,12.74,27.4,-5
"6","Finland",4.44,4.39,0.52,0.98,0.29,5508214,2130948,11418,274800,143700,50300,13500,200,12.8956689698669,6.74347755083653,2.36045178014668,0.633520855506563,0.00938549415565279,22.6425046505124,8.75964514087506,38.6867322148341,12.74,27.4,-6
"7","France",4.22,6.91,0.51,1,0.3,66918020,9360200,3202.55,2646100,2096000,1641100,442800,27100,28.2696950919852,22.3926839170103,17.5327450268157,4.73066814811649,0.289523728125467,73.2153159120532,10.2410382136232,13.9875626923809,11.41,31.6,4.25
"8","France",4.22,6.91,0.51,1,0.3,66918020,9360200,3202.55,2646100,2096000,1641100,442800,27100,28.2696950919852,22.3926839170103,17.5327450268157,4.73066814811649,0.289523728125467,73.2153159120532,10.2410382136232,13.9875626923809,11.41,31.6,3.34
"9","France",4.22,6.91,0.51,1,0.3,66918020,9360200,3202.55,2646100,2096000,1641100,442800,27100,28.2696950919852,22.3926839170103,17.5327450268157,4.73066814811649,0.289523728125467,73.2153159120532,10.2410382136232,13.9875626923809,11.41,31.6,4.19
"10","France",4.22,6.91,0.51,1,0.3,66918020,9360200,3202.55,2646100,2096000,1641100,442800,27100,28.2696950919852,22.3926839170103,17.5327450268157,4.73066814811649,0.289523728125467,73.2153159120532,10.2410382136232,13.9875626923809,11.41,31.6,5.48
